PostID,UserID,Content,Timestamp,Likes,Retweets,Hashtags,SentimentScore
1001,18,Super clean design. Impressed.,2023-11-01 04:18:00,146,36,"#mood,#bug,#python",-0.11
1002,26,Brilliant performance!,2023-10-25 16:43:00,493,50,"#fail,#mood,#cleanUI",0.53
1003,73,Loving the new update!,2023-10-22 10:02:00,419,57,#cleanUI,-0.87
1004,53,This app keeps crashing!,2023-11-30 22:26:00,262,91,"#UX,#bug",-0.22
1005,67,Brilliant performance!,2023-11-21 09:58:00,2,196,"#python,#design,#mood",0.38
1006,73,Super clean design. Impressed.,2023-10-31 12:13:00,472,178,#fail,-0.88
1007,42,Loving the new update!,2023-11-27 20:54:00,228,63,"#cleanUI,#mood",0.96
1008,13,Love the UX and features.,2023-11-26 04:54:00,380,19,#cleanUI,0.78
1009,14,Loving the new update!,2023-10-02 11:39:00,463,123,#design,0.91
1010,57,Love the UX and features.,2023-11-05 02:16:00,237,36,"#design,#bug,#fail",0.22
1011,31,Feeling good about this!,2023-10-17 00:17:00,125,121,"#cleanUI,#UX",0.12
1012,72,Loving the new update!,2023-11-26 05:31:00,92,54,"#innovation,#python,#tech",0.62
1013,3,Such a buggy release.,2023-11-11 03:55:00,171,13,#UX,-0.89
1014,49,Super clean design. Impressed.,2023-11-30 06:02:00,76,172,#bug,0.4
1015,8,This app keeps crashing!,2023-10-30 06:58:00,51,121,"#fail,#cleanUI",0.12
1016,8,Super clean design. Impressed.,2023-11-02 08:12:00,106,8,#AI,-0.53
1017,87,Brilliant performance!,2023-11-10 18:33:00,146,47,"#AI,#UX",0.57
1018,14,Such a buggy release.,2023-10-24 11:24:00,94,9,"#python,#mood,#AI",0.74
1019,43,Love the UX and features.,2023-10-21 09:42:00,336,23,"#python,#design,#fail",0.22
1020,58,This app keeps crashing!,2023-11-12 08:21:00,243,52,"#innovation,#fail,#tech",0.29
1021,92,Such a buggy release.,2023-11-22 21:46:00,169,190,"#bug,#innovation,#python",-0.43
1022,58,"Another day, another post.",2023-10-21 15:41:00,86,129,"#bug,#python",-0.72
1023,59,"Another day, another post.",2023-10-07 22:09:00,190,187,"#UX,#innovation,#tech",-0.78
1024,43,Such a buggy release.,2023-11-18 20:37:00,143,51,"#bug,#design,#mood",0.69
1025,76,Worst experience ever.,2023-11-08 12:06:00,369,103,"#innovation,#AI,#UX",0.45
1026,40,Feeling good about this!,2023-11-23 01:48:00,417,102,#bug,-0.55
1027,51,Loving the new update!,2023-11-11 21:10:00,131,11,#fail,-0.62
1028,72,Super clean design. Impressed.,2023-11-29 15:29:00,401,1,#python,-0.4
1029,84,Brilliant performance!,2023-10-09 11:16:00,406,192,"#python,#AI",0.51
1030,24,Worst experience ever.,2023-11-15 17:43:00,180,128,#design,0.51
1031,68,Such a buggy release.,2023-10-30 12:20:00,51,145,#mood,-0.83
1032,93,"Another day, another post.",2023-10-08 18:29:00,188,139,"#mood,#cleanUI",-0.97
1033,21,Loving the new update!,2023-11-18 03:30:00,258,137,"#innovation,#cleanUI",-0.25
1034,35,Feeling good about this!,2023-12-03 02:25:00,15,24,"#fail,#tech",0.29
1035,100,Brilliant performance!,2023-11-18 20:38:00,471,132,#python,-1.0
1036,56,Loving the new update!,2023-12-08 01:22:00,73,90,#UX,0.32
1037,21,This app keeps crashing!,2023-11-05 06:59:00,55,65,"#python,#design",0.18
1038,8,Such a buggy release.,2023-11-19 23:52:00,403,85,"#bug,#tech,#innovation",-0.28
1039,78,Such a buggy release.,2023-10-16 04:36:00,175,161,"#python,#AI",0.74
1040,77,Not bad. Could be better.,2023-10-15 10:06:00,253,190,#innovation,-0.36
1041,86,Such a buggy release.,2023-10-26 04:57:00,103,24,"#AI,#tech,#design",0.12
1042,6,This app keeps crashing!,2023-10-26 04:23:00,198,188,#cleanUI,0.44
1043,83,Not bad. Could be better.,2023-10-08 23:49:00,135,121,"#tech,#design,#bug",0.34
1044,44,Love the UX and features.,2023-11-18 19:30:00,65,122,"#tech,#innovation",-0.08
